DG Trésor,"Direction générale du Trésor, direction du ministère de l'Économie des Finances et de la Souveraineté industrielle énergétique et numérique"
Directeur général du Trésor,Bertrand Dumont
Directrice générale adjointe du Trésor,Claire Cheremetinski
Cheffe économiste de la DG Trésor,Dorothée Rouzet
Effectif en administration centrale de la DG Trésor,750 agents
Effectif des services économiques à l'étranger,580 agents
Nombre de pays de présence de la DG Trésor,102 pays
Nombre d'implantations à l'étranger,117 implantations
SPMAE,Service des politiques macroéconomiques et des affaires européennes
SABINE,Service des affaires bilatérales de l'internationalisation des entreprises et de l'attractivité
SSOFIA,Service des politiques sociales et des finances publiques
SPES,Service des politiques écologiques et sectorielles
SAMD,Service des affaires multilatérales et du développement
AFT,"Agence France Trésor, gère la trésorerie et la dette de l'État"
SFE,Service du financement de l'économie
FIN INFRA,Mission d'appui au financement des infrastructures
Nombre de services en administration centrale,Neuf services
Trésor Éco,"Analyses économiques synthétiques, 22 publications en 2025"
Flash Conjoncture,"Analyses hebdomadaires des indices économiques, 87 publications en 2025"
Brèves économiques,"Décryptages économiques par pays, plus de 2000 publications en 2025"
Objectif Afrique,"Décryptages économiques des pays d'Afrique subsaharienne, 4 publications en 2025"
Rapports stratégiques annuels en 2025,11 rapports
Fonds Ukraine,Instrument bilatéral créé en 2024 entre la France et l'Ukraine doté de 200 millions d'euros
FASEP,Outil de financement bilatéral mobilisé par la DG Trésor à l'étranger
SPAFTE,Stratégie pluriannuelle des financements de la transition écologique
MACF,Mécanisme d'ajustement carbone aux frontières
Nombre de projets financés par le Fonds Ukraine,19 projets
Nombre de secteurs stratégiques du Fonds Ukraine,Cinq secteurs
Aide civile française à l'Ukraine sur 2022-2025,16.2 milliards d'euros
Rang de la France comme donateur de l'Ukraine,Troisième pays donateur
Nombre de personnes bénéficiant de l'eau courante à Kharkiv,800 000 personnes
Nombre d'établissements de santé équipés en Ukraine,45 établissements
Nombre de projets actifs suivis par le service économique de Kyiv,36 projets
Événement du 19 mai 2025 pour l'attractivité économique,Choose France
Priorité internationale de la DG Trésor pour 2026,La présidence française du G7
