Secrétariat général (SG),"Créé en 2000, fête ses 25 ans en 2025"
Effectif du SG en 2025,2 478 agents
Part de femmes au SG,54 %
SRH,Service des ressources humaines
DES,Délégation à l'encadrement supérieur
DDEP,Délégation à la diversité et à l'égalité professionnelle
IGPDE,Institut de la gestion publique et du développement économique
SIEP,Service de l'immobilier et de l'environnement professionnel
SNUM,Service du numérique
SHFDS,Service du haut fonctionnaire de défense et de sécurité
CCM,Centre de cyberdéfense ministériel
SAFI,Service des achats et des finances
SIRCOM,Service de l'information et de la communication
DSCI,Délégation à la synthèse la coordination et l'innovation
Postes obtenus à la sortie de l'INSP en 2025,29 postes sur 92 pour les MEF
Nouvelle procédure d'affectation INSP,Supprime le classement de sortie au profit d'un appariement profils/besoins
Programme VirtuOses,Accompagne chaque année environ 60 femmes cadres vers des fonctions supérieures
Taux d'emploi de travailleurs handicapés aux MEF (2024),6.53 %
Accord égalité professionnelle,Signé le 5 septembre 2025 avec six fédérations syndicales
Cadre stratégique IGPDE 2025-2027,"3 axes, 26 actions et 7 programmes"
Agents formés par l'IGPDE en 2025,36 029 agents
SPSI ministériel 2024-2028,Couvre 284 bâtiments et environ 850 000 m²
Projet Bercy Demain,Réaménagement de Bercy et Chevaleret pour environ 180 000 m² et 9 000 agents
Label ISO 50001,Obtenu par les MEF pour le management de l'énergie des bâtiments
RIVOLI,"Programme de gestion des transitions ministérielles lors des remaniements, jusqu'à 300 utilisateurs en 4-6 semaines"
CCM en 2025,"Plus de 200 alertes de cybersécurité coordonnées, dont 77 incidents"
Chef de file de la cyberdéfense de l'État,L'ANSSI (le CCM la complète au niveau ministériel)
HYDROS 25,Exercice de crise simulant une crue centennale de la Seine
Taux de réussite de l'alerte SMS lors d'HYDROS 25,75 %
Réponses du SAFI aux questions parlementaires (PLF 2026),99.42 % dans les délais
Taux de réalisation du plan ministériel des achats 2024-2026,86 %
Visites du portail economie.gouv.fr en 2025,75 millions
Espace À quoi servent mes impôts,Près de 900 000 visiteurs en 2025
Abonnés aux réseaux sociaux des MEF,3.6 millions
BercyINNOV 2025,"1 565 participants, 170 porteurs de projets, 50 stands"
Baisse des émissions de GES de l'administration centrale (vs 2019),11 %
Lab Grand Est,Premier laboratoire d'innovation régional territorial créé en 2025
