Quel est l'axe principal de développement de l'offre de conseil de la DGFiP mentionné dans le document ?,Renforcer l’accompagnement des usagers et des partenaires en développant une offre de conseil plus personnalisée.
Quel est l'objectif n°7 de la DGFiP ?,Mieux accompagner les usagers particuliers.
Quel est l'objectif n°8 de la DGFiP ?,Soutenir les entreprises.
Quel est l'objectif n°9 de la DGFiP ?,Valoriser l’expertise de la DGFiP auprès de ses partenaires publics et privés.
"Dans l'objectif 7, comment la DGFiP compte-t-elle assurer un service plus adapté à la situation personnelle de chaque usager ?","En mettant en place des outils innovants pour mieux connaître l'historique des contacts, les événements de vie et rapprocher les informations utiles."
Quel est le nom du chantier 7-1 de la DGFiP ?,Mieux connaître les usagers pour mieux les accompagner.
Quel type d'information la DGFiP communiquera-t-elle aux usagers sans initiative préalable de leur part ?,Des informations qui les intéressent personnellement ou des rappels d’obligations déclaratives ou de paiement.
La DGFiP recherchera la structuration d'une mission pérenne en matière de versement d'aides aux _____.,particuliers
Citez un indicateur de performance lié à l'objectif 7 pour mieux accompagner les particuliers.,L'outil de gestion de la relation usager ou le nombre d’actions d’information de l’usager sans initiative de sa part.
Quel exemple est donné pour illustrer la prise en compte des naissances par la DGFiP ?,Les naissances déclarées dans l'espace « Gérer mon prélèvement à la source » sont automatiquement reconduites sur la déclaration de revenus.
Quelle source d'information la DGFiP exploite-t-elle pour gérer les démarches fiscales suite à un décès ?,Les informations de l’Insee.
En quelle année la cartographie des événements de vie et la définition de la cible ont-elles été prévues ?,2023.
En quelle année est prévue la mise en place de l'outil de gestion des événements de vie ?,2027.
Quel est le nom du chantier 7-2 de la DGFiP concernant les retraites ?,Informer davantage les assurés sur leur régime de retraite.
La DGFiP mettra en place l'extension de la _____ à la fonction publique.,retraite progressive
La DGFiP appuie la communauté des régimes de retraite via son rôle d'opérateur du GIP - _____.,Union Retraite
Quel est le nom du chantier 8-1 de la DGFiP pour les entreprises ?,Placer la relation de confiance au cœur des échanges avec les entreprises.
"À quel type d'entreprises la DGFiP étendra-t-elle particulièrement la ""relation de confiance"" ?",Aux petites et moyennes entreprises (PME).
Quelle catégorie de personnel de la DGFiP verra sa formation renforcée pour accroître la sensibilisation à la relation de confiance ?,Les vérificateurs.
Quel est le nom du chantier 8-2 de la DGFiP ?,Soutenir les entreprises en difficulté.
Les conseillers départementaux à la sortie de crise ont été transformés en _____.,conseillers départementaux à l’accompagnement des entreprises en difficulté
"Quelle mission, initiée pendant la crise sanitaire, la DGFiP cherche-t-elle à pérenniser pour les entreprises ?",Une mission de versement d’aides avec des outils adaptés.
Quel est l'objectif chiffré pour le nombre de partenariats avec les grandes entreprises ou ETI en 2027 ?,160.
Quel est l'objectif de taux de satisfaction des entreprises partenaires sur la période 2023-2027 ?,80 %.
Combien de PME la DGFiP ambitionne-t-elle d'accompagner fiscalement en 2027 ?,8 500.
Quel est le nom du chantier 9-1 de la DGFiP ?,Mieux utiliser le savoir-faire de la DGFiP pour répondre aux besoins d’autres partenaires publics mais aussi privés.
Quelle technologie la DGFiP utilisera-t-elle pour assister les collectivités locales et les hôpitaux dans l'évaluation des risques financiers ?,L'intelligence artificielle.
Dans quel domaine la DGFiP jouera-t-elle un rôle de référente en interministériel et pour les collectivités dans le contexte de la réforme de la responsabilité des gestionnaires publics ?,En matière de contrôle interne comptable.
"En matière d'évaluation domaniale, l'intervention de la DGFiP sera recentrée sur les évaluations immobilières _____ et à enjeux.",sensibles
Quel document sera généralisé par les services d’évaluation du domaine pour améliorer la transparence de l'action publique ?,L'avis-rapport.
Quel est l'objectif de taux de satisfaction pour la qualité des prestations de conseil des CDL aux collectivités locales ?,85 %.
Quel est l'objectif de taux de satisfaction pour la qualité des réponses des SGC aux collectivités locales ?,85 %.
Quel est le taux de satisfaction visé pour la qualité du conseil des trésoreries hospitalières aux établissements de santé ?,85 %.
Quel est le nom du chantier 9-2 de la DGFiP ?,Développer et valoriser les compétences de la DGFiP à l’international.
Citez deux organisations internationales où le savoir-faire de la DGFiP est reconnu.,"OCDE, UE, IOTA, CIAT, CREDAF, ou AIST."
Que créera la DGFiP pour prolonger les actions de formation et maintenir le lien avec les bénéficiaires de son expertise à l'étranger ?,Un réseau des anciens élèves étrangers des écoles des Finances publiques.
"Outre l'assistance technique, comment la DGFiP contribuera-t-elle au rayonnement économique de la France ?",Par des actions de communication et d’accompagnement en matière d’investissements directs étrangers.
